postid,title,category,sharecount,published_date,claim,key_word
116707,Did a ‘Muslim Migrant’ Beat Up a Dutch Boy on Crutches?,Viral Phenomena,33000,2017-11-29 8:18,"A ""Muslim migrant"" beats up a boy on crutches in a video posted to a site in the Netherlands.",Muslim migrant
24161,Swiffer WetJet Pet Danger,Critter Country,33000,2004-05-17 0:00,The Swiffer WetJet poses a general danger to dogs and other household pets.,Swiffer WetJet 
115495,United States to Reverse Ban on Wildlife Trophies?,Critter Country,32000,2017-11-16 12:27,The United States will reverse restrictions on bringing back legally-hunted elephant trophies.,elephant trophies
23751,Is Facebook Implementing User Fees?,Computers,31000,2009-12-31 0:00,Facebook soon plans to charge fees to users of the social network.,facebook fee
71047,Are Facebook Users Secretly Following You?,Technology,30000,2017-01-05 0:00,Instructions explain how to block Facebook users who are following you without your knowledge.,facebook block
133981,Was Emma González Filmed Ripping Up the U.S. Constitution?,Fauxtography,30000,2018-03-25 5:37,"Emma González, a survivor of the Parkland school shooting, was filmed ripping up a copy of the U.S. Constitution.",Emma González
21586,Is Autism Now Disclosed as a DTaP Vaccine Side Effect?,Science,29000,2016-03-22 0:00,"Autism has now been included among the known side effects of the  DTaP (Diphtheria, Tetanus, and acellular Pertussis) vaccine.",autism dtap
118227,Is a New Hand Sign Being Used by Teens to Acquire Drugs?,Crime,29000,2017-12-08 9:45,"A photograph shows a ""new hand sign"" that is being used by teenagers to signal that they wish to buy or sell drugs.",drug sign
23806,Social Media Hacker Warning,Computers,29000,2009-03-17 0:00,Accepting a friend request from a stranger will provide hackers with access to your computer and online accounts.,accept friends hacker
115599,Does the GOP Tax Bill Introduce Anti-Abortion “Fetal Personhood” Legislation?,Politics,28000,2017-11-16 15:20,The 2017 GOP tax overhaul plan includes language that attempts to codify “fetal personhood.”,fetal personhood
54495,Should You Avoid Getting a Flu Shot?,Uncategorized,28000,2016-10-08 0:00,The flu shot is dangerous and full of risks the pharmaceutical companies don't want you to know about.,flu shot dangerous 
127858,Was ‘America First’ a Slogan of the Ku Klux Klan?,History,27000,2018-02-09 14:48,"President Trump's oft-repeated slogan ""America First"" was also a credo of the white supremacist Ku Klux Klan organization.",America First kkk
127421,Did Trump Tweet in 2015 That the President Should Be Shot Out of a Cannon if the ‘Dow Joans’ Tanks?,Politics,27000,2018-02-05 14:58,"President Trump tweeted in 2015 that the president should be shot out of a cannon if the Dow drops more than 1,000 points.",trump dow drop
129155,No School Shootings in the United Kingdom Since Handguns Were Banned?,Politics,26000,2018-02-16 12:46,"After a gunman killed schoolchildren and a teacher in Scotland in 1996, the UK banned handguns; no school shootings have taken place there since.",scotland shooting
134058,Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?,Conspiracy Theories,26000,2018-03-26 14:48,"Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 ""March for Our Lives"" protests.",March for Our Lives
11281,Secret Sisters Gift Exchange,Viral Phenomena,26000,2015-11-02 0:00,"By participating in a Facebook ""secret sister"" gift exchange, you'll receive 36 gifts, books, or bottles of wine in exchange for one $10-15 contribution.",facebook secret sister
133353,Have Officials Warned that Someone Is Injecting Poison into Plastic Water Bottles?,Horrors,25000,2018-03-20 4:43,Law enforcement officials alerted the public to check the tops of commercially sold bottles of water for tampering because someone is injecting poison into them.,bottles water posion
98914,Has the National Debt Fallen by $102 Billion Since Donald Trump’s Inauguration?,Politics,25000,2017-08-14 14:19,"The national debt saw a ""surprising"" decline of $102 billion between 20 January and 27 July 2017.",national debt
115630,Did Franken Photog Say Groping Image Was Staged?,Fauxtography,25000,2017-11-17 10:55,"The photographer of the infamous Al Franken image said that the moment was staged, that Leeann Tweeden ""was playing dead,"" and that ""she wanted him to ‘revive’ her.""",ai franken
134946,Is the ‘Condom Snorting Challenge’ a Real Teen Trend?,Viral Phenomena,23000,2018-04-02 13:49,The latest social media craze entails teens making videos of themselves snorting condoms into their nostrils and pulling them out through their mouths.,snorting condom
124606,Did Trump Criticize Obama for a Lack of Leadership During the 2013 Government Shutdown?,Politics,22000,2018-01-20 13:31,"Donald Trump criticized President Barack Obama during the 2013 government shutdown for failing to ""lead,"" ""get everyone in a room,"" and ""make a deal.""",trump obama shutdown
122539,Did Oprah Winfrey Say ‘Old White People Have to Die’?,Questionable Quotes,22000,2018-01-10 14:59,"Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.",winfrey racism old white people
14759,Donald Trump’s Sons in Game-Hunting Photos?,Politics,22000,2015-12-22 0:00,"Photographs show Donald Trump's sons, Donald Jr. and Eric, posing during a big game hunting trip.",winfrey racism  
23435,Will Entering Your PIN in Reverse at an ATM Summon the Police?,Crime,20000,2006-10-07 0:00,Entering your PIN in reverse at any ATM will automatically summon the police.,pin reverse 
48914,Sylvester Stallone Death Hoax,Fake News,20000,2016-09-01 0:00,Sylvester Stallone has passed away from prostate cancer.,stallone prostate cancer
124033,Did a CDC Doctor Say the Flu Shot Is Causing a Deadly Outbreak?,Medical,19000,2018-01-17 20:05,A Centers for Disease Control and Prevention doctor said the flu vaccine is causing the deadly flu epidemic.,vaccine epidemic
